EMPLID,Name,Term,Application Status,Major,Math - Majors 1st Math Course,Math - Majors 1st Math Code,Math - Math Placement Course,Math - Math Placement Code,Math - Math Placement Course Verified,Math - Math Placement Code Verified,Math - Math Placement Met,Math - Math Placement Met Long Description,Math - ESM 105 Eligible,Math - ESM 120 Eligible,College Coursework Exists,IMP - College Course,Math_Tests_Concatenate,Formula math_placement_2_calc_III_eligible,Formula math_placement_4_calc_II_eligible,Formula math_placement_8_calc_eligible,Formula math_placement_10_precalc_eligible,Formula math_score_exists,Application Math Category,College Math Status ERS,ELM Status ERS,HS Math GPA ERS,HS Math Units ERS,MAPE IA,MAPE PC,EAP,ACT Math,ACT Math SS,AP CALC AB,AP CALC BC,AP CSC P,AP STATS,IB AA,IB AI,Old SAT Math,SAT Math L1,SAT Math L2,SAT R Math Section,CLEP College Algebra,CLEP College Algebra/Trig,CLEP Trig,CLEP Precalc,CLEP Calc,Cambridge Math,MPAP Response,MPAP - Updated Date,IMP - Updated Date
0001,Blake Smith,Fall 2025,Confirmed Completed,Biological Sciences,MATH 161 - Calculus for the Life Sciences I,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Placement Verified w/Final Documentation,N,N,Y,Precalculus,Verified: SATR Math Section Score - 630,,,8,10,Y,,0,S,,10,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/24/2025 09:05,05/24/2025 09:05
0002,Jordan Lopez,Fall 2025,Confirmed Completed,BioResource and Agricultural Engineering,MATH 141 - Calculus I,8,MATH 115 - Stretch Precalculus Algebra I,16,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,N,,,"Verified: AP Computer Science Principles - 2
Verified: ACT Mathematics - 21
Verified: ACT Mathematics - 21
Verified: SATR Math Section Score - 470",,,,,Y,,0,X,,10,,,,21 - Verified;21 - Verified,,,,,,,,,,,,,,,,,,I will take the MAPE remotely before August 31 (it is strongly advised that students complete the exam before July 10).,05/12/2025 09:05,05/05/2025 09:05
0003,Jamie King,Fall 2025,Confirmed Completed,Biological Sciences,MATH 161 - Calculus for the Life Sciences I,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,Y,,,,,,10,N,,0,4,,11,,,,,,,,,,,,,,,,,,,,,,I will take the MAPE remotely before August 31 (it is strongly advised that students complete the exam before July 10).,06/19/2025 02:06,04/28/2025 06:04
0004,Alex Torres,Fall 2025,Confirmed Completed,Business Administration,MATH 221 - Calculus for Business and Economics,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,Precalculus,"Verified: AP Precalculus - 4
Verified: AP Statistics - 2",,,8,10,Y,,0,4,,10,,,,,,,,,2 - Verified,,,,,,,,,,,,,I will/have send a standardized test score or transcript to demonstrate Calculus I (MATH 141 or equivalent) eligibility by the July 15 deadline.,07/08/2025 02:07,07/08/2025 02:07
0005,Jamie Rivera,Fall 2025,Confirmed Completed,Business Administration,MATH 221 - Calculus for Business and Economics,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,,Verified: AP Calculus (AB) - 3,,4,,10,Y,,0,A,,10,,,,,,3 - Verified,,,,,,,,,,,,,,,,I will/have send a standardized test score or transcript to demonstrate Calculus I (MATH 141 or equivalent) eligibility by the July 15 deadline.,06/10/2025 10:06,04/01/2025 10:04
0006,Blake Rivera,Fall 2025,Confirmed Completed,Agricultural Systems Management,MATH 119 - Precalculus Trigonometry,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Placement Verified w/Final Documentation,Y,N,Y,Not Listed,,,,,10,N,,0,4,,12,,,,,,,,,,,,,,,,,,,,,,I will/have send a standardized test score or transcript to demonstrate Precalculus (MATH 118 or equivalent) or higher eligibility by the July 15 deadline.,04/19/2025 10:04,03/16/2025 02:03
0007,Blake Scott,Fall 2025,Confirmed Completed,Mathematics,MATH 141 - Calculus I,8,Calculus III,2,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,,"Verified: AP Calculus (BC) - 5
Verified: AP Calculus (BC): AB Subscore - 5
Verified: SATR Math Section Score - 750",2,4,8,10,Y,,0,A,,10,,,,,,,5 - Verified,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,04/27/2025 12:04,04/24/2025 07:04
0008,Reese Garcia,Fall 2025,Confirmed Completed,Sociology,STAT 217 - Introduction to Statistical Concepts and Methods,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,Y,N,,Statistics,Verified: AP Statistics - 1,,,,10,Y,,0,4,,10,,,,,,,,,1 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/01/2025 06:06,05/17/2025 09:05
0009,Alex Garcia,Fall 2025,Confirmed Completed,Computer Science,MATH 141 - Calculus I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,,"Verified: AP Calculus (AB) - 4
Verified: AP Computer Science Principles - 3",,4,8,10,Y,,0,A,,12,,,,,,4 - Verified,,,,,,,,,,,,,,,,I will/have send a standardized test score or transcript to demonstrate Precalculus (MATH 118 or equivalent) or higher eligibility by the July 15 deadline.,04/19/2025 03:04,03/21/2025 09:03
0010,Cameron Young,Fall 2025,Confirmed Completed,Computer Science,MATH 141 - Calculus I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,,"Verified: AP Calculus (AB) - 5
Verified: AP Calculus (BC): AB Subscore - 4
Verified: AP Computer Science (A) - 4
Verified: AP Computer Science Principles - 4
Verified: AP Calculus (BC) - 2
Verified: ACT Mathematics - 31
Verified: ACT Mathematics - 31
Verified: ACT Mathematics - 31
Verified: ACT Mathematics - 31",,4,8,10,Y,,0,C,,10,,,,31 - Verified;31 - Verified,,5 - Verified,2 - Verified,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the August 31 deadline.,07/10/2025 01:07,07/09/2025 08:07
